trans_id,risk_type,rank,similarity_score,source,section,chunk_text
TXN000748,异常时间,1,0.8659,audit_policy.txt,第五章 非工作时间操作管理,"第五章 非工作时间操作管理
第16条 工作时间定义为工作日9:00-18:00，其余时段（含周末及22:00至次日6:00）为非工作时间。
第17条 非工作时间发起的交易须核实经办人身份与授权情况，防范越权操作。
第18条 非工作时间交易须经值班负责人授权，并留存授权记录。
第19条 审计时应核对非工作时间交易的经办人是否具备相应权限，是否存在代操作情况。"
TXN000748,异常时间,2,0.836,compliance_manual.txt,第二章 授权管理,"第二章 授权管理
第7条 所有交易须经适当授权，授权层级与金额挂钩，不得越权审批。
第8条 授权记录须可追溯，包括授权人、授权时间、授权方式。
第9条 非工作时间操作须有专项授权或值班授权，普通授权在非工作时间无效。"
TXN000748,异常时间,3,0.8186,compliance_manual.txt,第四章 交易时间合规,"第四章 交易时间合规
第14条 周末及法定节假日原则上不办理付款业务，确需办理的须副总裁级授权。
第15条 22:00至次日6:00发起的交易标记为异常时段交易，须重点核查。
第16条 异常时段交易应核对操作IP、设备指纹，排查是否为本人操作。"
TXN000756,金额异常,1,0.8809,audit_policy.txt,第三章 金额审批权限,"第三章 金额审批权限
第8条 单笔交易金额超过50万元的，需经财务总监审批后方可执行。
第9条 单笔交易金额超过100万元的，须经分管副总裁与财务总监双重审批。
第10条 金额超过均值加三倍标准差（均值+3σ）的交易，视为金额异常，须复核审批层级是否完整、是否绕过审批环节。
第11条 大额交易审批须留存审批人签字记录与系统操作日志，审计时核对审批时间与交易时间的先后顺序。"
TXN000756,金额异常,2,0.7853,compliance_manual.txt,第二章 授权管理,"第二章 授权管理
第7条 所有交易须经适当授权，授权层级与金额挂钩，不得越权审批。
第8条 授权记录须可追溯，包括授权人、授权时间、授权方式。
第9条 非工作时间操作须有专项授权或值班授权，普通授权在非工作时间无效。"
TXN000756,金额异常,3,0.7774,compliance_manual.txt,第四章 交易时间合规,"第四章 交易时间合规
第14条 周末及法定节假日原则上不办理付款业务，确需办理的须副总裁级授权。
第15条 22:00至次日6:00发起的交易标记为异常时段交易，须重点核查。
第16条 异常时段交易应核对操作IP、设备指纹，排查是否为本人操作。"
TXN000763,金额异常,1,0.8835,audit_policy.txt,第三章 金额审批权限,"第三章 金额审批权限
第8条 单笔交易金额超过50万元的，需经财务总监审批后方可执行。
第9条 单笔交易金额超过100万元的，须经分管副总裁与财务总监双重审批。
第10条 金额超过均值加三倍标准差（均值+3σ）的交易，视为金额异常，须复核审批层级是否完整、是否绕过审批环节。
第11条 大额交易审批须留存审批人签字记录与系统操作日志，审计时核对审批时间与交易时间的先后顺序。"
TXN000763,金额异常,2,0.7834,compliance_manual.txt,第二章 授权管理,"第二章 授权管理
第7条 所有交易须经适当授权，授权层级与金额挂钩，不得越权审批。
第8条 授权记录须可追溯，包括授权人、授权时间、授权方式。
第9条 非工作时间操作须有专项授权或值班授权，普通授权在非工作时间无效。"
TXN000763,金额异常,3,0.7743,compliance_manual.txt,第四章 交易时间合规,"第四章 交易时间合规
第14条 周末及法定节假日原则上不办理付款业务，确需办理的须副总裁级授权。
第15条 22:00至次日6:00发起的交易标记为异常时段交易，须重点核查。
第16条 异常时段交易应核对操作IP、设备指纹，排查是否为本人操作。"
TXN000789,异常时间,1,0.8671,audit_policy.txt,第五章 非工作时间操作管理,"第五章 非工作时间操作管理
第16条 工作时间定义为工作日9:00-18:00，其余时段（含周末及22:00至次日6:00）为非工作时间。
第17条 非工作时间发起的交易须核实经办人身份与授权情况，防范越权操作。
第18条 非工作时间交易须经值班负责人授权，并留存授权记录。
第19条 审计时应核对非工作时间交易的经办人是否具备相应权限，是否存在代操作情况。"
TXN000789,异常时间,2,0.8381,compliance_manual.txt,第二章 授权管理,"第二章 授权管理
第7条 所有交易须经适当授权，授权层级与金额挂钩，不得越权审批。
第8条 授权记录须可追溯，包括授权人、授权时间、授权方式。
第9条 非工作时间操作须有专项授权或值班授权，普通授权在非工作时间无效。"
TXN000789,异常时间,3,0.8188,compliance_manual.txt,第四章 交易时间合规,"第四章 交易时间合规
第14条 周末及法定节假日原则上不办理付款业务，确需办理的须副总裁级授权。
第15条 22:00至次日6:00发起的交易标记为异常时段交易，须重点核查。
第16条 异常时段交易应核对操作IP、设备指纹，排查是否为本人操作。"
TXN000801,重复付款,1,0.8975,audit_policy.txt,第四章 重复付款核查,"第四章 重复付款核查
第12条 同一供应商在30天内收到相同金额的付款，应核实是否为重复发起。
第13条 重复付款的识别条件为：同一供应商、相同金额、两笔交易日期差不超过3天。
第14条 发现疑似重复付款时，应调取付款流水、采购订单与入库单三方核对，确认是否为重复请款或系统重复扣款。
第15条 如确属重复付款，应启动付款冲销流程，并追究相关经办人责任。"
TXN000801,重复付款,2,0.7931,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000801,重复付款,3,0.7812,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000802,重复付款,1,0.8975,audit_policy.txt,第四章 重复付款核查,"第四章 重复付款核查
第12条 同一供应商在30天内收到相同金额的付款，应核实是否为重复发起。
第13条 重复付款的识别条件为：同一供应商、相同金额、两笔交易日期差不超过3天。
第14条 发现疑似重复付款时，应调取付款流水、采购订单与入库单三方核对，确认是否为重复请款或系统重复扣款。
第15条 如确属重复付款，应启动付款冲销流程，并追究相关经办人责任。"
TXN000802,重复付款,2,0.7931,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000802,重复付款,3,0.7812,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000803,重复付款,1,0.8975,audit_policy.txt,第四章 重复付款核查,"第四章 重复付款核查
第12条 同一供应商在30天内收到相同金额的付款，应核实是否为重复发起。
第13条 重复付款的识别条件为：同一供应商、相同金额、两笔交易日期差不超过3天。
第14条 发现疑似重复付款时，应调取付款流水、采购订单与入库单三方核对，确认是否为重复请款或系统重复扣款。
第15条 如确属重复付款，应启动付款冲销流程，并追究相关经办人责任。"
TXN000803,重复付款,2,0.7931,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000803,重复付款,3,0.7812,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000804,重复付款,1,0.8975,audit_policy.txt,第四章 重复付款核查,"第四章 重复付款核查
第12条 同一供应商在30天内收到相同金额的付款，应核实是否为重复发起。
第13条 重复付款的识别条件为：同一供应商、相同金额、两笔交易日期差不超过3天。
第14条 发现疑似重复付款时，应调取付款流水、采购订单与入库单三方核对，确认是否为重复请款或系统重复扣款。
第15条 如确属重复付款，应启动付款冲销流程，并追究相关经办人责任。"
TXN000804,重复付款,2,0.7931,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000804,重复付款,3,0.7812,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000804,异常时间,1,0.8646,audit_policy.txt,第五章 非工作时间操作管理,"第五章 非工作时间操作管理
第16条 工作时间定义为工作日9:00-18:00，其余时段（含周末及22:00至次日6:00）为非工作时间。
第17条 非工作时间发起的交易须核实经办人身份与授权情况，防范越权操作。
第18条 非工作时间交易须经值班负责人授权，并留存授权记录。
第19条 审计时应核对非工作时间交易的经办人是否具备相应权限，是否存在代操作情况。"
TXN000804,异常时间,2,0.8363,compliance_manual.txt,第二章 授权管理,"第二章 授权管理
第7条 所有交易须经适当授权，授权层级与金额挂钩，不得越权审批。
第8条 授权记录须可追溯，包括授权人、授权时间、授权方式。
第9条 非工作时间操作须有专项授权或值班授权，普通授权在非工作时间无效。"
TXN000804,异常时间,3,0.8163,compliance_manual.txt,第四章 交易时间合规,"第四章 交易时间合规
第14条 周末及法定节假日原则上不办理付款业务，确需办理的须副总裁级授权。
第15条 22:00至次日6:00发起的交易标记为异常时段交易，须重点核查。
第16条 异常时段交易应核对操作IP、设备指纹，排查是否为本人操作。"
TXN000805,重复付款,1,0.8975,audit_policy.txt,第四章 重复付款核查,"第四章 重复付款核查
第12条 同一供应商在30天内收到相同金额的付款，应核实是否为重复发起。
第13条 重复付款的识别条件为：同一供应商、相同金额、两笔交易日期差不超过3天。
第14条 发现疑似重复付款时，应调取付款流水、采购订单与入库单三方核对，确认是否为重复请款或系统重复扣款。
第15条 如确属重复付款，应启动付款冲销流程，并追究相关经办人责任。"
TXN000805,重复付款,2,0.7931,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000805,重复付款,3,0.7812,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000806,重复付款,1,0.8975,audit_policy.txt,第四章 重复付款核查,"第四章 重复付款核查
第12条 同一供应商在30天内收到相同金额的付款，应核实是否为重复发起。
第13条 重复付款的识别条件为：同一供应商、相同金额、两笔交易日期差不超过3天。
第14条 发现疑似重复付款时，应调取付款流水、采购订单与入库单三方核对，确认是否为重复请款或系统重复扣款。
第15条 如确属重复付款，应启动付款冲销流程，并追究相关经办人责任。"
TXN000806,重复付款,2,0.7931,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000806,重复付款,3,0.7812,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000807,重复付款,1,0.8975,audit_policy.txt,第四章 重复付款核查,"第四章 重复付款核查
第12条 同一供应商在30天内收到相同金额的付款，应核实是否为重复发起。
第13条 重复付款的识别条件为：同一供应商、相同金额、两笔交易日期差不超过3天。
第14条 发现疑似重复付款时，应调取付款流水、采购订单与入库单三方核对，确认是否为重复请款或系统重复扣款。
第15条 如确属重复付款，应启动付款冲销流程，并追究相关经办人责任。"
TXN000807,重复付款,2,0.7931,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000807,重复付款,3,0.7812,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000808,重复付款,1,0.8975,audit_policy.txt,第四章 重复付款核查,"第四章 重复付款核查
第12条 同一供应商在30天内收到相同金额的付款，应核实是否为重复发起。
第13条 重复付款的识别条件为：同一供应商、相同金额、两笔交易日期差不超过3天。
第14条 发现疑似重复付款时，应调取付款流水、采购订单与入库单三方核对，确认是否为重复请款或系统重复扣款。
第15条 如确属重复付款，应启动付款冲销流程，并追究相关经办人责任。"
TXN000808,重复付款,2,0.7931,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000808,重复付款,3,0.7812,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000808,异常时间,1,0.8637,audit_policy.txt,第五章 非工作时间操作管理,"第五章 非工作时间操作管理
第16条 工作时间定义为工作日9:00-18:00，其余时段（含周末及22:00至次日6:00）为非工作时间。
第17条 非工作时间发起的交易须核实经办人身份与授权情况，防范越权操作。
第18条 非工作时间交易须经值班负责人授权，并留存授权记录。
第19条 审计时应核对非工作时间交易的经办人是否具备相应权限，是否存在代操作情况。"
TXN000808,异常时间,2,0.8357,compliance_manual.txt,第二章 授权管理,"第二章 授权管理
第7条 所有交易须经适当授权，授权层级与金额挂钩，不得越权审批。
第8条 授权记录须可追溯，包括授权人、授权时间、授权方式。
第9条 非工作时间操作须有专项授权或值班授权，普通授权在非工作时间无效。"
TXN000808,异常时间,3,0.8155,compliance_manual.txt,第四章 交易时间合规,"第四章 交易时间合规
第14条 周末及法定节假日原则上不办理付款业务，确需办理的须副总裁级授权。
第15条 22:00至次日6:00发起的交易标记为异常时段交易，须重点核查。
第16条 异常时段交易应核对操作IP、设备指纹，排查是否为本人操作。"
TXN000808,高频交易,1,0.8856,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000808,高频交易,2,0.8254,compliance_manual.txt,第五章 合同与采购合规,"第五章 合同与采购合规
第18条 单笔采购金额达到审批阈值的，须签订正式合同并走合同审批流程。
第19条 禁止将一笔大额采购拆分为多笔小额交易以规避合同审批。
第20条 合同审批应完整留存，审计时核对分批次付款是否对应同一合同。"
TXN000808,高频交易,3,0.816,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000809,高频交易,1,0.8856,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000809,高频交易,2,0.8254,compliance_manual.txt,第五章 合同与采购合规,"第五章 合同与采购合规
第18条 单笔采购金额达到审批阈值的，须签订正式合同并走合同审批流程。
第19条 禁止将一笔大额采购拆分为多笔小额交易以规避合同审批。
第20条 合同审批应完整留存，审计时核对分批次付款是否对应同一合同。"
TXN000809,高频交易,3,0.816,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000810,高频交易,1,0.8856,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000810,高频交易,2,0.8254,compliance_manual.txt,第五章 合同与采购合规,"第五章 合同与采购合规
第18条 单笔采购金额达到审批阈值的，须签订正式合同并走合同审批流程。
第19条 禁止将一笔大额采购拆分为多笔小额交易以规避合同审批。
第20条 合同审批应完整留存，审计时核对分批次付款是否对应同一合同。"
TXN000810,高频交易,3,0.816,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000811,高频交易,1,0.8856,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000811,高频交易,2,0.8254,compliance_manual.txt,第五章 合同与采购合规,"第五章 合同与采购合规
第18条 单笔采购金额达到审批阈值的，须签订正式合同并走合同审批流程。
第19条 禁止将一笔大额采购拆分为多笔小额交易以规避合同审批。
第20条 合同审批应完整留存，审计时核对分批次付款是否对应同一合同。"
TXN000811,高频交易,3,0.816,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000812,异常时间,1,0.8688,audit_policy.txt,第五章 非工作时间操作管理,"第五章 非工作时间操作管理
第16条 工作时间定义为工作日9:00-18:00，其余时段（含周末及22:00至次日6:00）为非工作时间。
第17条 非工作时间发起的交易须核实经办人身份与授权情况，防范越权操作。
第18条 非工作时间交易须经值班负责人授权，并留存授权记录。
第19条 审计时应核对非工作时间交易的经办人是否具备相应权限，是否存在代操作情况。"
TXN000812,异常时间,2,0.8393,compliance_manual.txt,第二章 授权管理,"第二章 授权管理
第7条 所有交易须经适当授权，授权层级与金额挂钩，不得越权审批。
第8条 授权记录须可追溯，包括授权人、授权时间、授权方式。
第9条 非工作时间操作须有专项授权或值班授权，普通授权在非工作时间无效。"
TXN000812,异常时间,3,0.818,compliance_manual.txt,第四章 交易时间合规,"第四章 交易时间合规
第14条 周末及法定节假日原则上不办理付款业务，确需办理的须副总裁级授权。
第15条 22:00至次日6:00发起的交易标记为异常时段交易，须重点核查。
第16条 异常时段交易应核对操作IP、设备指纹，排查是否为本人操作。"
TXN000812,高频交易,1,0.8856,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000812,高频交易,2,0.8254,compliance_manual.txt,第五章 合同与采购合规,"第五章 合同与采购合规
第18条 单笔采购金额达到审批阈值的，须签订正式合同并走合同审批流程。
第19条 禁止将一笔大额采购拆分为多笔小额交易以规避合同审批。
第20条 合同审批应完整留存，审计时核对分批次付款是否对应同一合同。"
TXN000812,高频交易,3,0.816,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000813,异常时间,1,0.8688,audit_policy.txt,第五章 非工作时间操作管理,"第五章 非工作时间操作管理
第16条 工作时间定义为工作日9:00-18:00，其余时段（含周末及22:00至次日6:00）为非工作时间。
第17条 非工作时间发起的交易须核实经办人身份与授权情况，防范越权操作。
第18条 非工作时间交易须经值班负责人授权，并留存授权记录。
第19条 审计时应核对非工作时间交易的经办人是否具备相应权限，是否存在代操作情况。"
TXN000813,异常时间,2,0.8393,compliance_manual.txt,第二章 授权管理,"第二章 授权管理
第7条 所有交易须经适当授权，授权层级与金额挂钩，不得越权审批。
第8条 授权记录须可追溯，包括授权人、授权时间、授权方式。
第9条 非工作时间操作须有专项授权或值班授权，普通授权在非工作时间无效。"
TXN000813,异常时间,3,0.818,compliance_manual.txt,第四章 交易时间合规,"第四章 交易时间合规
第14条 周末及法定节假日原则上不办理付款业务，确需办理的须副总裁级授权。
第15条 22:00至次日6:00发起的交易标记为异常时段交易，须重点核查。
第16条 异常时段交易应核对操作IP、设备指纹，排查是否为本人操作。"
TXN000813,高频交易,1,0.8856,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000813,高频交易,2,0.8254,compliance_manual.txt,第五章 合同与采购合规,"第五章 合同与采购合规
第18条 单笔采购金额达到审批阈值的，须签订正式合同并走合同审批流程。
第19条 禁止将一笔大额采购拆分为多笔小额交易以规避合同审批。
第20条 合同审批应完整留存，审计时核对分批次付款是否对应同一合同。"
TXN000813,高频交易,3,0.816,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
TXN000814,高频交易,1,0.8856,audit_policy.txt,第六章 拆分采购识别,"第六章 拆分采购识别
第20条 同一供应商在7天内发生6次及以上交易，视为高频交易，应评估是否存在拆分采购规避审批。
第21条 拆分采购的识别应结合合同完整性、单笔金额是否刻意低于审批阈值、交易间隔是否异常均匀等特征综合判断。
第22条 对疑似拆分采购的交易，应核查合同总金额、分批次付款审批记录，评估合同审批完整性。
第23条 拆分采购一经确认，应合并计算金额并追溯审批责任。"
TXN000814,高频交易,2,0.8254,compliance_manual.txt,第五章 合同与采购合规,"第五章 合同与采购合规
第18条 单笔采购金额达到审批阈值的，须签订正式合同并走合同审批流程。
第19条 禁止将一笔大额采购拆分为多笔小额交易以规避合同审批。
第20条 合同审批应完整留存，审计时核对分批次付款是否对应同一合同。"
TXN000814,高频交易,3,0.816,compliance_manual.txt,第一章 供应商管理,"第一章 供应商管理
第3条 新增供应商须经资质审查，建立供应商档案，定期更新。
第4条 同一供应商在短期内发生多笔交易时，合规部门应评估交易合理性。
第5条 供应商付款须与采购订单、入库单、发票三单匹配，任何一项缺失均需核实。"
